2023-05-15 15:05:366 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (984b8008b1633049a5a5701b8d5f7e9c)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (984b8008b1633049a5a5701b8d5f7e9c)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (984b8008b1633049a5a5701b8d5f7e9c)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (984b8008b1633049a5a5701b8d5f7e9c)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (984b8008b1633049a5a5701b8d5f7e9c)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (984b8008b1633049a5a5701b8d5f7e9c)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (984b8008b1633049a5a5701b8d5f7e9c)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 15:05:332 INFO  ComputerPage :27 - Get text ComputerProxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'<br>
2023-05-15 15:05:557 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (a7dff42d0a451128aba20d41ebef6a23)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a7dff42d0a451128aba20d41ebef6a23)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a7dff42d0a451128aba20d41ebef6a23)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a7dff42d0a451128aba20d41ebef6a23)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a7dff42d0a451128aba20d41ebef6a23)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a7dff42d0a451128aba20d41ebef6a23)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a7dff42d0a451128aba20d41ebef6a23)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 15:05:150 INFO  ComputerPage :27 - Get text ComputerProxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'<br>
2023-05-15 15:05:541 INFO  HomePage :71 - Get Mouse Hover to Electronic And Click On Cell Phone<br>
2023-05-15 15:05:885 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (3bac97309fbc11dee0f7f388244fef83)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (3bac97309fbc11dee0f7f388244fef83)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (3bac97309fbc11dee0f7f388244fef83)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (3bac97309fbc11dee0f7f388244fef83)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (3bac97309fbc11dee0f7f388244fef83)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (3bac97309fbc11dee0f7f388244fef83)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (3bac97309fbc11dee0f7f388244fef83)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 15:05:915 INFO  ComputerPage :27 - Get text Computer[[ChromeDriver: chrome on WINDOWS (3bac97309fbc11dee0f7f388244fef83)] -> xpath: //h1[contains(text(),'Computers')]]<br>
2023-05-15 15:05:325 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (874af70df80f4a838a3d18535b905bae)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (874af70df80f4a838a3d18535b905bae)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (874af70df80f4a838a3d18535b905bae)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (874af70df80f4a838a3d18535b905bae)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (874af70df80f4a838a3d18535b905bae)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (874af70df80f4a838a3d18535b905bae)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (874af70df80f4a838a3d18535b905bae)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 15:05:125 INFO  ComputerPage :27 - Get text ComputerProxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'<br>
2023-05-15 15:05:606 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (f7e5628f686284b9a02688b50346ce8f)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (f7e5628f686284b9a02688b50346ce8f)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (f7e5628f686284b9a02688b50346ce8f)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (f7e5628f686284b9a02688b50346ce8f)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (f7e5628f686284b9a02688b50346ce8f)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (f7e5628f686284b9a02688b50346ce8f)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (f7e5628f686284b9a02688b50346ce8f)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
